date,cancel_events,gatherings_restrictions,infected,information_campaigns,internal_movement_restrictions,international_movement_restrictions,school_closing,stay_home_restrictions,stringency_index,susceptible,testing_policy,transport_closing,workplace_closing,confirmed,fatal,recovered,derived_reproduction_rate,kap_mortality_rate,rho_transmission_rate,sig_recovery_rate,t/k_mortality_period,t/r_infection_period,t/s_recovery_period,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,facial_coverings,vaccination_policy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_confirmed,new_fatal,new_recovered,new_susceptible,total_removed
2020-03-06,1.0,0.0,271,0.0,0.0,3.0,3.0,0.0,20.37,326687190.0,1.0,0.0,0.0,311,15,25,26.396529532006095,0.0002238023964263808,0.008211570145699124,8.728282164149063e-05,186.1761416856535,5.0741412333291604,477.3753401077041,5095.0,1523.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13392.830715813152,-2.266467514630686,0.4213019965611695,5.0,3.0,12.0,2.0,2.0,-1.0,0.0,0.0,3.617284,-6.141975,15.796296,0.056444,0.0,-7.222222,45.231294,1.0,6.0,0.0,0.0,83,3,0,-83.0,40
2020-03-07,1.0,0.0,384,0.0,0.0,3.0,3.0,0.0,20.37,326687073.0,1.0,0.0,0.0,428,19,25,25.990751516601247,0.00022578685243173168,0.00813691610622046,8.728282164149063e-05,184.5398269115997,5.12069512856518,477.3753401077041,6867.0,1772.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13353.423927460717,-2.2273778686751045,0.44571341240753193,10.0,8.0,29.0,7.0,5.0,-1.0,0.0,0.0,11.814815,5.382716,22.524691,0.0,0.0,-2.932099,35.869848,0.0,6.0,0.0,0.0,117,4,0,-117.0,44
2020-03-08,1.0,0.0,498,0.0,0.0,3.0,3.0,0.0,20.37,326686954.0,1.0,0.0,0.0,547,22,27,25.586541815344017,0.00022762142460868709,0.008057310664509562,8.728282164149063e-05,183.05248171738432,5.1712870958541926,477.3753401077041,8505.0,1638.0,0.111,9.0,0.0,0.0,0.0,0.0,0.0,-13316.198,-2.19,0.46,10.0,7.0,40.0,5.0,2.0,-1.0,0.0,0.0,14.123457,6.981481,22.5,0.0,0.0,1.666667,43.003196,0.0,6.0,0.0,0.0,119,3,2,-119.0,49
2020-03-09,1.0,0.0,692,0.0,0.0,3.0,3.0,0.0,20.37,326686753.0,1.0,0.0,0.0,748,26,30,25.183299064673694,0.000229306112957247,0.00797275382056643,8.728282164149063e-05,181.7076140243815,5.2261323508050355,477.3753401077041,10902.0,2397.0,0.109,9.2,0.0,0.0,0.0,0.0,0.0,-13281.15293343101,-2.1543339086053708,0.464161759338574,6.0,6.0,31.0,-1.0,0.0,0.0,0.0,0.0,6.938272,1.314815,17.876543,2.822222,0.0,3.925926,81.174604,3.0,9.0,0.0,0.0,201,4,3,-201.0,56
2020-03-10,1.0,0.0,957,0.0,0.0,3.0,3.0,0.0,20.37,326686483.0,1.0,0.0,0.0,1018,31,30,24.780437939730795,0.00023084091747741154,0.007883245574391065,8.728282164149063e-05,180.49948476202826,5.285471101144172,477.3753401077041,14382.0,3480.0,0.113,8.8,0.0,0.0,0.0,0.0,0.0,-13248.288727753741,-2.1203795944912183,0.45819869042325356,6.0,7.0,18.0,-3.0,-2.0,1.0,1.0,0.0,3.62963,-1.246914,13.209877,3.019778,0.0,0.697531,81.473026,0.0,9.0,0.0,0.0,270,5,0,-270.0,61
2020-03-11,1.0,1.0,1195,0.0,0.0,3.0,3.0,0.0,21.76,326686239.0,1.0,0.0,0.0,1262,37,30,24.377385985715712,0.00023222583816918054,0.007788785925983465,8.728282164149063e-05,179.42304351297798,5.349571430338876,477.3753401077041,19214.0,4832.0,0.111,9.0,0.0,0.0,0.0,0.0,0.0,-13217.605382968193,-2.0881370576575415,0.4421107932540389,8.0,10.0,26.0,-2.0,-1.0,0.0,1.0,0.0,8.450617,-0.191358,21.222222,0.169333,0.0,3.049383,69.201787,3.0,12.0,0.0,0.0,244,6,0,-244.0,67
2020-03-12,2.0,2.0,1581,0.0,0.0,3.0,3.0,0.0,30.09,326685834.0,1.0,0.0,0.0,1667,43,43,23.973580634876647,0.00023346087503255412,0.007689374875343629,8.728282164149063e-05,178.4738734524858,5.41873264630041,477.3753401077041,28105.0,8891.0,0.104,9.6,0.0,0.0,0.0,0.0,0.0,-13187.525702895935,-2.0572739576323493,0.4198468245240272,6.0,23.0,19.0,-6.0,-3.0,1.0,1.0,0.0,11.95679,6.240741,19.67284,1.495778,0.0,3.462963,56.158894,5.0,17.0,0.0,0.0,405,6,13,-405.0,86
2020-03-13,2.0,2.0,2127,0.0,0.0,3.0,3.0,0.0,30.09,326685279.0,1.0,0.0,0.0,2222,50,45,23.568466373755637,0.00023454602806753216,0.00758501242247156,8.728282164149063e-05,177.64814441739216,5.493289179490846,477.3753401077041,39833.0,11728.0,0.099,10.1,0.0,0.0,0.0,0.0,0.0,-13148.586510466366,-2.0257962515836905,0.41509932439180147,2.0,26.0,4.0,-10.0,-7.0,3.0,1.0,0.0,2.759259,-0.932099,8.722222,0.677333,0.0,-4.006173,61.377705,6.0,23.0,0.0,0.0,555,7,2,-555.0,95
2020-03-14,2.0,2.0,2776,0.0,1.0,3.0,3.0,0.0,35.65,326684605.0,1.0,0.0,0.0,2896,60,60,23.16149202855464,0.00023548129727411473,0.007475698567367256,8.728282164149063e-05,176.9425731427159,5.573615133246412,477.3753401077041,52880.0,13047.0,0.098,10.2,0.0,0.0,0.0,0.0,0.0,-13099.210609501055,-1.9933715990395744,0.43181704955045913,-6.0,18.0,3.0,-10.0,-1.0,3.0,1.0,0.0,0.814815,-0.450617,2.882716,4.176889,0.0,-0.635802,90.184025,4.0,27.0,0.0,0.0,674,10,15,-674.0,120
2020-03-15,2.0,2.0,3469,0.0,1.0,3.0,3.0,2.0,41.2,326683904.0,1.0,0.0,0.0,3597,68,60,22.752108139057196,0.0002362666826523019,0.007361433310030718,8.728282164149063e-05,176.35438987385604,5.66012961224433,477.3753401077041,67322.0,14442.0,0.096,10.4,0.0,0.0,0.0,0.0,0.0,-13039.398,-1.96,0.47,-9.0,12.0,5.0,-13.0,-7.0,3.0,1.0,0.0,0.493827,-0.512346,2.246914,0.987778,88.9,-1.191358,88.621369,10.0,37.0,0.0,0.0,701,8,0,-701.0,128
